ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-07-10T08:00:52.000000000Z,2026-07-10T08:00:50.079064488Z,195,2,15024,A,150.100000000,46,128,517726,150.010000000,150.190000000,114,60,2,1,SPCX
2026-07-10T08:00:56.000000000Z,2026-07-10T08:00:55.203643044Z,195,2,15024,N,150.160000000,50,128,526818,150.010000000,150.190000000,114,60,2,1,SPCX
2026-07-10T08:00:59.000000000Z,2026-07-10T08:00:55.203643044Z,195,2,15024,N,150.160000000,50,128,536961,150.100000000,150.190000000,24,76,1,2,SPCX
2026-07-10T08:01:00.000000000Z,2026-07-10T08:00:55.203643044Z,195,2,15024,N,150.160000000,50,128,537124,150.100000000,150.120000000,24,38,1,2,SPCX
2026-07-10T08:01:01.000000000Z,2026-07-10T08:00:55.203643044Z,195,2,15024,N,150.160000000,50,128,542669,150.100000000,150.140000000,24,38,1,2,SPCX
2026-07-10T08:01:02.000000000Z,2026-07-10T08:00:55.203643044Z,195,2,15024,N,150.160000000,50,128,549161,150.100000000,150.160000000,144,38,3,2,SPCX
2026-07-10T08:01:03.000000000Z,2026-07-10T08:01:02.974733226Z,195,2,15024,N,150.100000000,33,128,559540,150.010000000,150.150000000,114,51,2,1,SPCX
2026-07-10T08:01:04.000000000Z,2026-07-10T08:01:03.041685378Z,195,2,15024,N,150.100000000,28,128,560820,150.010000000,150.150000000,114,16,2,1,SPCX
2026-07-10T08:01:06.000000000Z,2026-07-10T08:01:03.041685378Z,195,2,15024,N,150.100000000,28,128,571612,150.010000000,150.150000000,114,19,2,2,SPCX
2026-07-10T08:01:07.000000000Z,2026-07-10T08:01:03.041685378Z,195,2,15024,N,150.100000000,28,128,575151,150.010000000,150.140000000,114,19,2,2,SPCX
2026-07-10T08:01:08.000000000Z,2026-07-10T08:01:07.656764676Z,195,2,15024,B,150.150000000,3,128,582915,150.020000000,150.160000000,147,47,2,2,SPCX
2026-07-10T08:01:09.000000000Z,2026-07-10T08:01:07.656764676Z,195,2,15024,B,150.150000000,3,128,583438,150.020000000,150.160000000,147,25,2,1,SPCX
2026-07-10T08:01:13.000000000Z,2026-07-10T08:01:12.154282223Z,195,2,15024,N,150.170000000,19,128,599567,150.020000000,150.180000000,147,80,2,2,SPCX
2026-07-10T08:01:16.000000000Z,2026-07-10T08:01:12.154282223Z,195,2,15024,N,150.170000000,19,128,612216,150.020000000,150.180000000,147,82,2,2,SPCX
2026-07-10T08:01:23.000000000Z,2026-07-10T08:01:12.154282223Z,195,2,15024,N,150.170000000,19,128,641876,150.020000000,150.180000000,147,77,2,1,SPCX
2026-07-10T08:01:27.000000000Z,2026-07-10T08:01:26.009410337Z,195,2,15024,N,150.170000000,60,128,659395,150.160000000,150.180000000,1,78,1,2,SPCX
2026-07-10T08:01:28.000000000Z,2026-07-10T08:01:27.060503555Z,195,2,15024,A,150.160000000,1,128,661568,150.020000000,150.180000000,147,78,2,2,SPCX
2026-07-10T08:01:32.000000000Z,2026-07-10T08:01:31.382984796Z,195,2,15024,B,150.180000000,60,128,679291,150.020000000,150.180000000,147,17,2,1,SPCX
2026-07-10T08:01:33.000000000Z,2026-07-10T08:01:31.382984796Z,195,2,15024,B,150.180000000,60,128,683030,150.020000000,150.180000000,147,21,2,2,SPCX
2026-07-10T08:01:35.000000000Z,2026-07-10T08:01:31.382984796Z,195,2,15024,B,150.180000000,60,128,693544,150.020000000,150.180000000,147,17,2,1,SPCX
2026-07-10T08:01:38.000000000Z,2026-07-10T08:01:31.382984796Z,195,2,15024,B,150.180000000,60,128,701158,150.020000000,150.180000000,147,21,2,2,SPCX
2026-07-10T08:01:48.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,743220,150.000000000,150.080000000,478,111,4,3,SPCX
2026-07-10T08:01:49.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,744033,150.000000000,150.080000000,478,112,4,4,SPCX
2026-07-10T08:01:50.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,747272,150.000000000,150.080000000,478,114,4,6,SPCX
2026-07-10T08:01:51.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,752236,150.000000000,150.130000000,478,115,4,4,SPCX
2026-07-10T08:01:52.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,754408,150.000000000,150.130000000,478,116,4,5,SPCX
2026-07-10T08:01:53.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,759863,150.000000000,150.130000000,478,117,4,6,SPCX
2026-07-10T08:01:54.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,763471,150.000000000,150.120000000,478,118,4,3,SPCX
2026-07-10T08:01:55.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,765718,150.010000000,150.120000000,106,119,2,4,SPCX
2026-07-10T08:01:56.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,767932,150.010000000,150.120000000,105,108,2,2,SPCX
2026-07-10T08:01:58.000000000Z,2026-07-10T08:01:47.690171810Z,195,2,15024,A,150.000000000,49,128,778539,150.010000000,150.180000000,105,17,2,1,SPCX
2026-07-10T08:01:59.000000000Z,2026-07-10T08:01:58.837526445Z,195,2,15024,N,150.040000000,80,128,782826,150.010000000,150.180000000,105,17,2,1,SPCX
2026-07-10T08:02:03.000000000Z,2026-07-10T08:01:58.837526445Z,195,2,15024,N,150.040000000,80,128,800465,150.010000000,150.190000000,105,60,2,1,SPCX
2026-07-10T08:02:08.000000000Z,2026-07-10T08:02:07.846397767Z,195,2,15024,N,149.820000000,32,128,820980,149.790000000,149.900000000,32,114,1,4,SPCX
2026-07-10T08:02:09.000000000Z,2026-07-10T08:02:07.846397767Z,195,2,15024,N,149.820000000,32,128,822405,149.760000000,149.890000000,97,50,2,2,SPCX
